Instructions.started,Instructions.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,ECR_S.started,ECR_S.stopped,q1_slider.response,q1_slider.rt,q2_slider.response,q2_slider.rt,q3_slider.response,q3_slider.rt,q4_slider.response,q4_slider.rt,q5_slider.response,q5_slider.rt,q6_slider.response,q6_slider.rt,key_resp_space.keys,key_resp_space.rt,key_resp_space.duration,ECR_S_2.started,ECR_S_2.stopped,q1_slider_2.response,q1_slider_2.rt,q2_slider_2.response,q2_slider_2.rt,q3_slider_2.response,q3_slider_2.rt,q4_slider_2.response,q4_slider_2.rt,q5_slider_2.response,q5_slider_2.rt,q6_slider_2.response,q6_slider_2.rt,key_resp_space_2.keys,key_resp_space_2.rt,key_resp_space_2.duration,Emotion_recognition_one.started,Emotion_recognition_one.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,emotion_selection.started,emotion_selection.stopped,Text_box_response.text,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text_prompts,video_link
0.0002,0.7722,space,0.7527,,133678,001,2024-11-29_15h42.20.206,psychopyfinalproject,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,133678,001,2024-11-29_15h42.20.206,psychopyfinalproject,2024.2.4,MacIntel,60.24096386,0.7728,10.0399,7,6.5824,,,,,7,8.2133,,,,,space,9.2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,133678,001,2024-11-29_15h42.20.206,psychopyfinalproject,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,10.0407,10.9066,,,,,,,,,,,,,space,0.8122,,,,,,,,,,,,,,,,,,,
,,,,,133678,001,2024-11-29_15h42.20.206,psychopyfinalproject,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9298,12.0387,space,1.0881,,12.0405,12.3228, ,space,0.2646,,0,0,0,0,1,What emotion is Michael Scott conveying?,M_8_MichaelScott_Anxiety.mp4
,,,,,133678,001,2024-11-29_15h42.20.206,psychopyfinalproject,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3237,12.539,space,0.1951,,12.5394,12.6729, ,space,0.1196,,0,1,1,1,1,What emotion is Michael Scott experiencing?,M_11_MichaelScott_sadness.mp4
